Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Type,Product Handle,Product Name,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
5ff6d6c59948650f00ec96c4,5ff98f893f831c8c257d3471,5ff6d6c599486575bcec96da,5ff98f8ae94da008bff6e12a,Physical,baby-blue-face-mask-adult-unisex,Baby blue face mask ,This sky blue face mask is perfect for Spring/Summer 2021 or that special occasion. Fits both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecb23801923a2d0cf198c8_Untitled%20(27)%202.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecb4319348a755b512b258_Untitled%20(3)%204.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febfdb758d0b0d9726e6ba5_Untitled%20(36).jpg,£14.99,,standard-taxable,UHL-202007705-134,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:12:09 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:34:44 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff993a05ef271595b9e5628,5ff6d6c599486575bcec96da,5ff993a2b4b1138211f3dd09,Physical,black-face-mask-adult-unisex,Onyx black face mask,"The onyx black face mask has to be a staple for any wardrobe. For work, college or the gym, this face mask is a timeless classic that works well with any outfit. Suitable for both men and women and teenage boys and girl. Designed and stitched in Britain. ",Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbca9d91ad3849dfdc1b0_Untitled%20(28)%208.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff388f818f4c466918a8f0a_Untitled%20(49).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febd974d2c3b305b02a0a1a_Untitled%20(29).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff38b049d56df72555725a6_Untitled%20(30).jpg,£14.99,,standard-taxable,UHL-202006705-023,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:29:36 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:27:41 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff6d6c599486517c5ec97e9,5ff6d6c599486575bcec96da,5ff6d6c59948653204ec97cc,Physical,black-face-mask-school-uniform,Kids black face mask,The school uniform black face mask is suitable for children aged between 10 and 14 years old. We recommend the adult mask if your child is older than 14. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Teen face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff716b58cfadbbe0b610c19_Untitled%20(58)%204.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff7149c77b4b658126aabcc_Untitled%20(60).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff714a6fa06563609aa0f48_Untitled%20(58).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff714bf340648e5d8da3407_Untitled%20(62).jpg,£9.99,,standard-taxable,UHL-202101705-024,10,true,35,,,,,,,,,,,,Wed Jan 06 2021 12:09:13 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:37:21 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff98f3b3928de190c3ffc49,5ff6d6c599486575bcec96da,5ff98f3c665f2120190e113c,Physical,blazing-red-face-mask-adult-unisex,Blazing red face mask ,This classy brilliant red face mask is a real statement piece and will set you apart from your peers. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbe21fb409894e3e75b08_Untitled%20(24)%203.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fea1708569a3aab5b660e34_Untitled%20(24).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbe9374e94d78517dd767_Untitled%20(25)%202.jpg,£14.99,,standard-taxable,UHL-202007705-104,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:10:51 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:35:24 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff993041d64b36f6043d0d4,5ff6d6c599486575bcec96da,5ff99304bb2fb2b2c702f3f6,Physical,blue-face-mask-adult-unisex,Navy blue face mask,"Beautifully made Midnight (navy) blue cotton face mask, perfect for everyday wear. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ",Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff71c2a41dc2c3cd8cc70ef_Untitled%20(50)%207.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff0958bb640939d53c4f67e_Untitled%20(51).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff091cdeda892042cdf2e94_Untitled%20(50).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff09b7e5a92b06fa478ba16_Untitled%202.jpg,£14.99,£19.99,standard-taxable,UHL-202006705-020,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:27:00 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:29:15 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff992adc33f88019762f175,5ff6d6c599486575bcec96da,5ff992ad665f21ee0c0e1144,Physical,blue-green-tartan-face-mask-adult-unisex,Blue/green tartan face mask,"The Blue/green tartan face mask is a beautiful addition to your face mask collection. Suitable for both men and women, and teenage boys and girls (one size fits all). Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ",Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff71b41ef1b73971f221026_Untitled%20(45)%202.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5feca53ed93f2367b3bb19b0_Untitled%20(46).jpg,£14.99,£19.99,standard-taxable,UHL-202009705-473,30,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:25:33 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:29:57 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff6d6c5994865043aec97f7,5ff6d6c599486575bcec96da,5ff6d6c59948657700ec96dd,Physical,can-be-used-for-school-mask,CAn be used fo school mask,XXXXXXXXXXX Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbd7f7aaf9604278c9a75_Untitled%20(19)%202.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febf7133baa0ab6dd8cee8b_Untitled%20(35).jpg,£14.99,,standard-taxable,UHL-202007705-102,,true,35,,,,,,,,,,,,Fri Oct 04 2019 13:51:24 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:52 GMT+0000 (Coordinated Universal Time),
5ff6d6c59948650f00ec96c4,5ff6d6c599486506dcec97ed,5ff6d6c599486575bcec96da,5ff6d6c59948650d3dec97ef,Advanced,fovero-onyx,Fovero Onyx,Sun & Wild Citrus,,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0d0be8347924_2.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0d356e3478f5_5.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0db00234792c_4.jpg,£90.00,,standard-taxable,,,true,,,,,,,Bottle size,100ml,,,,,Fri Oct 04 2019 13:36:36 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:22 GMT+0000 (Coordinated Universal Time),
5ff6d6c59948650f00ec96c4,5ff6d6c599486506dcec97ed,5ff6d6c599486575bcec96da,5ff6d6c5994865eca2ec97f1,Advanced,fovero-onyx,Fovero Onyx,Sun & Wild Citrus,,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0d0be8347924_2.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0d356e3478f5_5.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0db00234792c_4.jpg,£90.00,,standard-taxable,,,true,,,,,,,Bottle size,200ml,,,,,Fri Oct 04 2019 13:36:36 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:22 GMT+0000 (Coordinated Universal Time),
5ff6d6c59948650f00ec96c4,5ff6d6c599486506dcec97ed,5ff6d6c599486575bcec96da,5ff6d6c5994865c541ec97f2,Advanced,fovero-onyx,Fovero Onyx,Sun & Wild Citrus,,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0d0be8347924_2.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0d356e3478f5_5.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fba92f4f6ec0db00234792c_4.jpg,£90.00,,standard-taxable,,,true,,,,,,,Bottle size,500ml,,,,,Fri Oct 04 2019 13:36:36 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:22 GMT+0000 (Coordinated Universal Time),
